Bundesland,Durchschnittsmiete,Durchschnittsmiete_pro_qm,Preistrend,Durchschnittswohnraum
Sachsen_Anhalt,504,5.79,1.85,62.13
Thüringen,519,5.92,2.05,63.61
Mecklenburg_Vorpommern,565,6.45,1.97,62.98
Sachsen,579,6.39,2.10,65.62
Brandenburg,674,7.21,3.38,70.10
Saarland,726,7.42,2.69,77.07
Niedersachsen,786,8.11,3.31,76.59
Nordrhein_Westfalen,789,8.06,3.45,74.27
Bremen,801,8.45,3.32,72.37
Schleswig_Holstein,830,8.85,4.08,73.73
Rheinland_Pfalz,886,8.98,3.72,82.96
Baden_Württemberg,1154,11.95,4.77,85.41
Hessen,1211,12.54,4.20,84.35
Bayern,1228,13.71,4.81,80.02
Berlin,1376,13.79,7.85,82.15
Hamburg,1427,14.08,5.06,84.09
